date,totals
2013-08-01,49978
2013-08-01,7545
2013-08-01,29065
2013-08-01,22401
2013-08-01,111132
2013-08-01,35642
2013-08-01,23489
2013-08-01,2526
2013-08-01,35
2013-08-01,81138
2013-08-01,34288
2013-08-01,1283
2013-08-01,9967
2013-08-01,85074
2013-08-01,49336
2013-08-01,8566
2013-08-01,14753
2013-08-01,27296
2013-08-01,25224
2013-08-01,6806
2013-08-01,14929
2013-08-01,21380
2013-08-01,34265
2013-08-01,35738
2013-08-01,16821
2013-08-01,38352
2013-08-01,10683
2013-08-01,5411
2013-08-01,9540
2013-08-01,9645
2013-08-01,9865
2013-08-01,10939
2013-08-01,23867
2013-08-01,36326
2013-08-01,5641
2013-08-01,41954
2013-08-01,26282
2013-08-01,18504
2013-08-01,70687
2013-08-01,1642
2013-08-01,25637
2013-08-01,5998
2013-08-01,39133
2013-08-01,115380
2013-08-01,30966
2013-08-01,2306
2013-08-01,33074
2013-08-01,37388
2013-08-01,16506
2013-08-01,27420
2013-08-01,4876
2013-09-01,46263
2013-09-01,6047
2013-09-01,22904
2013-09-01,16195
2013-09-01,104067
2013-09-01,31620
2013-09-01,21666
2013-09-01,2515
2013-09-01,36
2013-09-01,73216
2013-09-01,32309
2013-09-01,1196
2013-09-01,10165
2013-09-01,67839
2013-09-01,40129
2013-09-01,10873
2013-09-01,13318
2013-09-01,54426
2013-09-01,29508
2013-09-01,8102
2013-09-01,49644
2013-09-01,18583
2013-09-01,36135
2013-09-01,40431
2013-09-01,14804
2013-09-01,35901
2013-09-01,10194
2013-09-01,5387
2013-09-01,8704
2013-09-01,10164
2013-09-01,8091
2013-09-01,10018
2013-09-01,27247
2013-09-01,34609
2013-09-01,6707
2013-09-01,42579
2013-09-01,23496
2013-09-01,19746
2013-09-01,70015
2013-09-01,1622
2013-09-01,20573
2013-09-01,6812
2013-09-01,40207
2013-09-01,111067
2013-09-01,19074
2013-09-01,2742
2013-09-01,33507
2013-09-01,36213
2013-09-01,17038
2013-09-01,32039
2013-09-01,5018
2013-10-01,51520
2013-10-01,8322
2013-10-01,24148
2013-10-01,19661
2013-10-01,114595
2013-10-01,34371
2013-10-01,20189
2013-10-01,2989
2013-10-01,37
2013-10-01,79284
2013-10-01,38032
2013-10-01,1325
2013-10-01,10694
2013-10-01,101416
2013-10-01,43650
2013-10-01,11717
2013-10-01,15038
2013-10-01,204305
2013-10-01,28194
2013-10-01,9707
2013-10-01,20526
2013-10-01,19891
2013-10-01,40320
2013-10-01,43178
2013-10-01,18028
2013-10-01,42480
2013-10-01,12038
2013-10-01,6517
2013-10-01,9800
2013-10-01,11318
2013-10-01,9341
2013-10-01,12018
2013-10-01,30402
2013-10-01,40850
2013-10-01,8511
2013-10-01,48416
2013-10-01,27268
2013-10-01,19484
2013-10-01,79205
2013-10-01,1862
2013-10-01,21704
2013-10-01,8534
2013-10-01,42522
2013-10-01,124834
2013-10-01,17812
2013-10-01,2951
2013-10-01,36623
2013-10-01,41311
2013-10-01,19865
2013-10-01,35951
2013-10-01,4629
2013-11-01,59213
2013-11-01,6868
2013-11-01,26839
2013-11-01,24393
2013-11-01,109140
2013-11-01,37908
2013-11-01,22530
2013-11-01,3354
2013-11-01,35
2013-11-01,86342
2013-11-01,43059
2013-11-01,1103
2013-11-01,10703
2013-11-01,90868
2013-11-01,51526
2013-11-01,12076
2013-11-01,18670
2013-11-01,208696
2013-11-01,33765
2013-11-01,8004
2013-11-01,18413
2013-11-01,18506
2013-11-01,39996
2013-11-01,38292
2013-11-01,25301
2013-11-01,47444
2013-11-01,10548
2013-11-01,6868
2013-11-01,10503
2013-11-01,10397
2013-11-01,10031
2013-11-01,12642
2013-11-01,32643
2013-11-01,50272
2013-11-01,7692
2013-11-01,61911
2013-11-01,35876
2013-11-01,22895
2013-11-01,88985
2013-11-01,1925
2013-11-01,25922
2013-11-01,8416
2013-11-01,53278
2013-11-01,133911
2013-11-01,21492
2013-11-01,3007
2013-11-01,44918
2013-11-01,40784
2013-11-01,24919
2013-11-01,35704
2013-11-01,5494
2013-12-01,77374
2013-12-01,7951
2013-12-01,32374
2013-12-01,25583
2013-12-01,138522
2013-12-01,43268
2013-12-01,21633
2013-12-01,3752
2013-12-01,35
2013-12-01,102760
2013-12-01,55863
2013-12-01,1401
2013-12-01,13971
2013-12-01,91077
