date,state,gtrend,totals,urban_pop_percent,rural_pop_percent,year,population,percent_in_poverty,Median income,Standard error,partisan_index_dem,partisan_index_rep,month,percent_of_unemployed_poulation
2013-08-01,Alabama,58.2089552238806,49978,59,41,2013,4831586,18.9,52690,2947,0.3710844328276452,0.6289155607332717,8,7.3
2013-08-01,Alaska,67.16417910447761,7545,66,34,2013,737626,10.1,77840,4203,NA,NA,8,7
2013-08-01,Arizona,40.29850746268657,29065,89.8,10.2,2013,6634690,18.6,64430,6151,0.4574213976424611,0.5425786066268287,8,7.8
2013-08-01,Arkansas,46.268656716417915,22401,56.2,43.8,2013,2960459,19.4,50830,3042,0.48567018393534195,0.514329818645026,8,7.1
2013-08-01,California,30.48780487804878,111132,95,5,2013,38253768,16.8,73240,1557,0.6056939225609718,0.3943060749760959,8,8.9
2013-08-01,Colorado,40.24390243902439,35642,86.2,13.8,2013,5270774,12.9,80680,3565,0.5371180414925745,0.4628819628182435,8,6.7
2013-08-01,Connecticut,34.146341463414636,23489,88,12,2013,3595792,10.7,86300,3243,0.600984173317023,0.3990158139725204,8,7.9
2013-08-01,Delaware,35.36585365853659,2526,83.3,16.7,2013,924062,12.9,66490,3165,0.6093219091863484,0.3906780925524182,8,6.4
2013-08-01,District of Columbia,34.73684210526316,35,100,0,2013,651559,18.8,77250,3924,NA,NA,8,8.4
2013-08-01,Florida,36.84210526315789,81138,91.2,8.8,2013,19551678,17.1,60970,2003,0.5060468408809872,0.49395315451065425,8,7.4
2013-08-01,Georgia,38.94736842105263,34288,75.1,24.9,2013,9975592,19,60400,2494,0.46071402503431347,0.539285975819194,8,8
2013-08-01,Hawaii,31.57894736842105,1283,91.9,8.1,2013,1408822,11.2,78180,2810,0.7232555829760732,0.2767443997215394,8,4.6
2013-08-01,Idaho,50.70422535211267,9967,70.6,29.4,2013,1612053,15.6,65910,4655,0.3482528697774142,0.6517471349045739,8,7
2013-08-01,Illinois,32.394366197183096,85074,88.5,11.5,2013,12895778,14.6,72820,2220,0.5698630480523036,0.43013695560783716,8,9.1
2013-08-01,Indiana,52.112676056338024,49336,72.4,27.6,2013,6570575,15.8,64360,4100,0.4753935191739863,0.5246064748796045,8,7.4
2013-08-01,Iowa,46.478873239436616,8566,64,36,2013,3093935,12.6,69840,2504,0.47973469231243715,0.5202653045122217,8,4.7
2013-08-01,Kansas,43.037974683544306,14753,71.4,28.6,2013,2894306,13.9,65550,1907,0.3907878854163275,0.6092121077438607,8,5.3
2013-08-01,Kentucky,49.36708860759494,27296,58.4,41.6,2013,4406906,18.8,53680,2386,0.42251425596454956,0.5774857494792507,8,8
2013-08-01,Louisiana,44.30379746835443,25224,73,27,2013,4626040,20,50450,3638,0.42128698563249184,0.5787130163604736,8,6.3
2013-08-01,Maine,43.037974683544306,6806,38.7,61.3,2013,1328543,14,63810,2487,0.4636900914080507,0.536309921563641,8,6.6
2013-08-01,Maryland,40.40404040404041,14929,87.2,12.8,2013,5925197,10.2,83090,5584,0.6401707402950397,0.35982926837684276,8,6.5
2013-08-01,Massachusetts,30.303030303030305,21380,92,8,2013,6715158,11.9,80160,4400,0.6252725649577769,0.374727420690005,8,6.7
2013-08-01,Michigan,36.36363636363637,34265,74.6,25.4,2013,9914802,17,62130,2838,0.566842757749861,0.433157230948374,8,8.8
2013-08-01,Minnesota,37.37373737373738,35738,73.3,26.7,2013,5414722,11.2,77550,2347,0.545767401485365,0.4542325927964967,8,5
2013-08-01,Mississippi,52.94117647058824,16821,51.2,48.8,2013,2989839,23.9,52010,2730,0.3458143462748377,0.6541856524745534,8,8.5
2013-08-01,Missouri,44.117647058823536,38352,70.5,29.5,2013,6042989,15.8,64060,4708,0.46137383240782837,0.5386261600395821,8,6.7
2013-08-01,Montana,58.82352941176471,10683,55.9,44.1,2013,1014158,16.1,56190,4140,0.5203027663251779,0.4796972353906651,8,5.3
2013-08-01,Nebraska,41.1764705882353,5411,73.1,26.9,2013,1855525,12.9,68470,2311,0.41015441999151153,0.5898455659031795,8,3.7
2013-08-01,Nevada,53.94736842105264,9540,94.2,5.8,2013,2790136,15.8,57760,3603,0.5442942470521849,0.4557057335343141,8,9.8
2013-08-01,New Hampshire,47.36842105263158,9645,60.3,39.7,2013,1323459,9,90810,4152,0.4831975161283938,0.5168024737148563,8,5.2
2013-08-01,New Jersey,27.631578947368425,9865,94.7,5.3,2013,8882190,11.4,78660,3893,0.5766851624041142,0.42331483352729093,8,8.3
2013-08-01,New Mexico,53.94736842105264,10939,77.4,22.6,2013,2085286,21.4,53640,3399,0.5626662842571468,0.4373337022287587,8,6.9
2013-08-01,New York,23.17073170731707,23867,91.9,8.1,2013,19570261,16,68550,2091,0.6467602930141044,0.3532397059532948,8,7.8
2013-08-01,North Carolina,40.24390243902439,36326,66.1,33.9,2013,9746170,17.8,52470,2620,0.48583171651383633,0.5141682814554603,8,7.3
2013-08-01,North Dakota,43.90243902439024,5641,59.9,40.1,2013,723393,11.6,67340,3645,0.45646686404846704,0.5435331403979632,8,2.9
2013-08-01,Ohio,36.58536585365854,41954,77.9,22.1,2013,11594163,15.9,59070,1765,0.5024644958674208,0.4975354948037561,8,7.5
2013-08-01,Oklahoma,55.714285714285715,26282,66.2,33.8,2013,3849733,16.7,55740,5201,0.337539612216696,0.6624603772327872,8,5.1
2013-08-01,Oregon,24.285714285714285,18504,81,19,2013,3892387,16.5,71690,2574,0.5700606409901484,0.4299393601172292,8,7.5
2013-08-01,Pennsylvania,40,70687,78.7,21.3,2013,12788956,13.7,68690,2045,0.5412938053560113,0.45870618420697157,8,7
2013-08-01,Rhode Island,34.285714285714285,1642,96,4,2013,1051165,14.7,73610,2718,0.6410377777331312,0.35896221543301277,8,9.6
2013-08-01,South Carolina,44.736842105263165,25637,66.3,33.7,2013,4774839,18.5,55700,3781,0.4049856715416847,0.5950143246738955,8,7.2
2013-08-01,South Dakota,50,5998,56.7,43.3,2013,844877,14,69330,3858,0.4720001106789394,0.5279998894558885,8,3.7
2013-08-01,Tennessee,47.36842105263158,39133,69.1,30.9,2013,6456243,17.8,54110,3736,0.40463460111854593,0.5953653974767769,8,7.6
2013-08-01,Texas,46.05263157894737,115380,84.7,15.3,2013,26448193,17.5,67510,2054,0.4185736614408074,0.5814263400094883,8,6.3
2013-08-01,Utah,57.89473684210526,30966,90.6,9.4,2013,2903379,12.6,80170,5267,0.3044073801486776,0.6955926099950918,8,4.1
2013-08-01,Vermont,43.859649122807014,2306,33.3,66.7,2013,626630,12.3,69830,3795,0.6822495155071454,0.31775048206812506,8,4.4
2013-08-01,Virginia,40.35087719298245,33074,74.3,25.7,2013,8260405,11.7,86090,3236,0.5347064751836805,0.46529352207988917,8,5.5
2013-08-01,Washington,35.08771929824561,37388,84.1,15.9,2013,6971406,14.1,76530,2799,0.5462990365027062,0.4537009745585215,8,6.7
2013-08-01,West Virginia,59.25925925925926,16506,48.7,51.3,2013,1854304,18.4,51230,3425,0.4630924362109835,0.5369075635158326,8,6.6
2013-08-01,Wisconsin,37.03703703703704,27420,70.2,29.8,2013,5742713,13.5,70350,2977,0.5687130785194301,0.43128692215773967,8,6.6
2013-08-01,Wyoming,64.81481481481481,4876,64.8,35.2,2013,576412,10.9,70920,4034,0.2810768170996758,0.7189231849205009,8,4.6
2013-09-01,Alabama,44.776119402985074,46263,59,41,2013,4831586,18.9,52690,2947,0.3710844328276452,0.6289155607332717,9,7.3
2013-09-01,Alaska,70.1492537313433,6047,66,34,2013,737626,10.1,77840,4203,NA,NA,9,6.9
2013-09-01,Arizona,46.268656716417915,22904,89.8,10.2,2013,6634690,18.6,64430,6151,0.4574213976424611,0.5425786066268287,9,7.7
2013-09-01,Arkansas,47.76119402985075,16195,56.2,43.8,2013,2960459,19.4,50830,3042,0.48567018393534195,0.514329818645026,9,7
2013-09-01,California,32.926829268292686,104067,95,5,2013,38253768,16.8,73240,1557,0.6056939225609718,0.3943060749760959,9,8.8
2013-09-01,Colorado,41.46341463414634,31620,86.2,13.8,2013,5270774,12.9,80680,3565,0.5371180414925745,0.4628819628182435,9,6.5
2013-09-01,Connecticut,35.36585365853659,21666,88,12,2013,3595792,10.7,86300,3243,0.600984173317023,0.3990158139725204,9,7.8
2013-09-01,Delaware,41.46341463414634,2515,83.3,16.7,2013,924062,12.9,66490,3165,0.6093219091863484,0.3906780925524182,9,6.3
2013-09-01,District of Columbia,41.05263157894736,36,100,0,2013,651559,18.8,77250,3924,NA,NA,9,8.4
2013-09-01,Florida,36.84210526315789,73216,91.2,8.8,2013,19551678,17.1,60970,2003,0.5060468408809872,0.49395315451065425,9,7.3
2013-09-01,Georgia,36.84210526315789,32309,75.1,24.9,2013,9975592,19,60400,2494,0.46071402503431347,0.539285975819194,9,7.9
2013-09-01,Hawaii,33.68421052631579,1196,91.9,8.1,2013,1408822,11.2,78180,2810,0.7232555829760732,0.2767443997215394,9,4.7
2013-09-01,Idaho,52.112676056338024,10165,70.6,29.4,2013,1612053,15.6,65910,4655,0.3482528697774142,0.6517471349045739,9,7
2013-09-01,Illinois,33.80281690140845,67839,88.5,11.5,2013,12895778,14.6,72820,2220,0.5698630480523036,0.43013695560783716,9,9
2013-09-01,Indiana,49.29577464788732,40129,72.4,27.6,2013,6570575,15.8,64360,4100,0.4753935191739863,0.5246064748796045,9,7.1
2013-09-01,Iowa,49.29577464788732,10873,64,36,2013,3093935,12.6,69840,2504,0.47973469231243715,0.5202653045122217,9,4.6
2013-09-01,Kansas,49.36708860759494,13318,71.4,28.6,2013,2894306,13.9,65550,1907,0.3907878854163275,0.6092121077438607,9,5.2
2013-09-01,Kentucky,49.36708860759494,54426,58.4,41.6,2013,4406906,18.8,53680,2386,0.42251425596454956,0.5774857494792507,9,7.9
2013-09-01,Louisiana,44.30379746835443,29508,73,27,2013,4626040,20,50450,3638,0.42128698563249184,0.5787130163604736,9,6.2
2013-09-01,Maine,46.83544303797469,8102,38.7,61.3,2013,1328543,14,63810,2487,0.4636900914080507,0.536309921563641,9,6.5
2013-09-01,Maryland,53.535353535353536,49644,87.2,12.8,2013,5925197,10.2,83090,5584,0.6401707402950397,0.35982926837684276,9,6.4
2013-09-01,Massachusetts,31.313131313131315,18583,92,8,2013,6715158,11.9,80160,4400,0.6252725649577769,0.374727420690005,9,6.6
2013-09-01,Michigan,39.3939393939394,36135,74.6,25.4,2013,9914802,17,62130,2838,0.566842757749861,0.433157230948374,9,8.7
2013-09-01,Minnesota,38.38383838383839,40431,73.3,26.7,2013,5414722,11.2,77550,2347,0.545767401485365,0.4542325927964967,9,4.9
2013-09-01,Mississippi,51.47058823529412,14804,51.2,48.8,2013,2989839,23.9,52010,2730,0.3458143462748377,0.6541856524745534,9,8.4
2013-09-01,Missouri,42.64705882352941,35901,70.5,29.5,2013,6042989,15.8,64060,4708,0.46137383240782837,0.5386261600395821,9,6.7
2013-09-01,Montana,60.294117647058826,10194,55.9,44.1,2013,1014158,16.1,56190,4140,0.5203027663251779,0.4796972353906651,9,5.2
2013-09-01,Nebraska,42.64705882352941,5387,73.1,26.9,2013,1855525,12.9,68470,2311,0.41015441999151153,0.5898455659031795,9,3.6
2013-09-01,Nevada,50,8704,94.2,5.8,2013,2790136,15.8,57760,3603,0.5442942470521849,0.4557057335343141,9,9.6
2013-09-01,New Hampshire,50,10164,60.3,39.7,2013,1323459,9,90810,4152,0.4831975161283938,0.5168024737148563,9,5.1
2013-09-01,New Jersey,26.315789473684212,8091,94.7,5.3,2013,8882190,11.4,78660,3893,0.5766851624041142,0.42331483352729093,9,8
2013-09-01,New Mexico,55.26315789473685,10018,77.4,22.6,2013,2085286,21.4,53640,3399,0.5626662842571468,0.4373337022287587,9,6.8
2013-09-01,New York,24.390243902439025,27247,91.9,8.1,2013,19570261,16,68550,2091,0.6467602930141044,0.3532397059532948,9,7.7
2013-09-01,North Carolina,42.68292682926829,34609,66.1,33.9,2013,9746170,17.8,52470,2620,0.48583171651383633,0.5141682814554603,9,6.6
2013-09-01,North Dakota,47.5609756097561,6707,59.9,40.1,2013,723393,11.6,67340,3645,0.45646686404846704,0.5435331403979632,9,2.8
2013-09-01,Ohio,39.02439024390244,42579,77.9,22.1,2013,11594163,15.9,59070,1765,0.5024644958674208,0.4975354948037561,9,7.4
2013-09-01,Oklahoma,52.85714285714286,23496,66.2,33.8,2013,3849733,16.7,55740,5201,0.337539612216696,0.6624603772327872,9,5.1
2013-09-01,Oregon,21.42857142857143,19746,81,19,2013,3892387,16.5,71690,2574,0.5700606409901484,0.4299393601172292,9,7.4
2013-09-01,Pennsylvania,38.57142857142857,70015,78.7,21.3,2013,12788956,13.7,68690,2045,0.5412938053560113,0.45870618420697157,9,6.9
2013-09-01,Rhode Island,31.42857142857143,1622,96,4,2013,1051165,14.7,73610,2718,0.6410377777331312,0.35896221543301277,9,9.5
2013-09-01,South Carolina,46.05263157894737,20573,66.3,33.7,2013,4774839,18.5,55700,3781,0.4049856715416847,0.5950143246738955,9,7
2013-09-01,South Dakota,48.684210526315795,6812,56.7,43.3,2013,844877,14,69330,3858,0.4720001106789394,0.5279998894558885,9,3.6
2013-09-01,Tennessee,50,40207,69.1,30.9,2013,6456243,17.8,54110,3736,0.40463460111854593,0.5953653974767769,9,7.5
2013-09-01,Texas,46.05263157894737,111067,84.7,15.3,2013,26448193,17.5,67510,2054,0.4185736614408074,0.5814263400094883,9,6.2
2013-09-01,Utah,59.64912280701754,19074,90.6,9.4,2013,2903379,12.6,80170,5267,0.3044073801486776,0.6955926099950918,9,4.1
2013-09-01,Vermont,42.10526315789473,2742,33.3,66.7,2013,626630,12.3,69830,3795,0.6822495155071454,0.31775048206812506,9,4.4
2013-09-01,Virginia,43.859649122807014,33507,74.3,25.7,2013,8260405,11.7,86090,3236,0.5347064751836805,0.46529352207988917,9,5.5
2013-09-01,Washington,38.59649122807017,36213,84.1,15.9,2013,6971406,14.1,76530,2799,0.5462990365027062,0.4537009745585215,9,6.6
2013-09-01,West Virginia,61.111111111111114,17038,48.7,51.3,2013,1854304,18.4,51230,3425,0.4630924362109835,0.5369075635158326,9,6.6
2013-09-01,Wisconsin,55.55555555555556,32039,70.2,29.8,2013,5742713,13.5,70350,2977,0.5687130785194301,0.43128692215773967,9,6.5
2013-09-01,Wyoming,72.22222222222223,5018,64.8,35.2,2013,576412,10.9,70920,4034,0.2810768170996758,0.7189231849205009,9,4.6
2013-10-01,Alabama,46.268656716417915,51520,59,41,2013,4831586,18.9,52690,2947,0.3710844328276452,0.6289155607332717,10,7.2
2013-10-01,Alaska,64.17910447761194,8322,66,34,2013,737626,10.1,77840,4203,NA,NA,10,6.9
2013-10-01,Arizona,44.776119402985074,24148,89.8,10.2,2013,6634690,18.6,64430,6151,0.4574213976424611,0.5425786066268287,10,7.6
2013-10-01,Arkansas,47.76119402985075,19661,56.2,43.8,2013,2960459,19.4,50830,3042,0.48567018393534195,0.514329818645026,10,6.9
2013-10-01,California,32.926829268292686,114595,95,5,2013,38253768,16.8,73240,1557,0.6056939225609718,0.3943060749760959,10,8.6
2013-10-01,Colorado,41.46341463414634,34371,86.2,13.8,2013,5270774,12.9,80680,3565,0.5371180414925745,0.4628819628182435,10,6.4
2013-10-01,Connecticut,35.36585365853659,20189,88,12,2013,3595792,10.7,86300,3243,0.600984173317023,0.3990158139725204,10,7.6
2013-10-01,Delaware,32.926829268292686,2989,83.3,16.7,2013,924062,12.9,66490,3165,0.6093219091863484,0.3906780925524182,10,6.2
2013-10-01,District of Columbia,36.84210526315789,37,100,0,2013,651559,18.8,77250,3924,NA,NA,10,8.2
2013-10-01,Florida,35.78947368421053,79284,91.2,8.8,2013,19551678,17.1,60970,2003,0.5060468408809872,0.49395315451065425,10,7.2
2013-10-01,Georgia,37.89473684210526,38032,75.1,24.9,2013,9975592,19,60400,2494,0.46071402503431347,0.539285975819194,10,7.8
2013-10-01,Hawaii,33.68421052631579,1325,91.9,8.1,2013,1408822,11.2,78180,2810,0.7232555829760732,0.2767443997215394,10,4.7
2013-10-01,Idaho,52.112676056338024,10694,70.6,29.4,2013,1612053,15.6,65910,4655,0.3482528697774142,0.6517471349045739,10,6.9
2013-10-01,Illinois,35.2112676056338,101416,88.5,11.5,2013,12895778,14.6,72820,2220,0.5698630480523036,0.43013695560783716,10,8.9
